"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0100000US","United States","334922499","*****",
"0400000US17","Illinois","12694798","*****",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","4198","825",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","7361","937",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","2482","380",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","6477","858",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","4545","593",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","3718","652",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","3286","466",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","2757","416",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","6467","1094",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","3478","500",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","4739","906",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","4159","525",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","7632","1123",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","4978","787",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","5064","1026",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","4363","496",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","6625","1339",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","6275","807",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","4790","1252",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","1771","228",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","8057","1686",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","5332","1002",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","8964","1741",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","6256","927",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","4107","531",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","3515","400",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","3374","669",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","2132","182",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","3612","335",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","5791","1139",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","2956","527",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","2716","361",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","6518","670",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","3907","887",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1996","259",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","3109","351",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","1516","155",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","2039","348",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","3237","418",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","2717","359",
